Date,Fecha_Objetivo,close,Close_Siguiente,Objetivo,Logistica_probabilidad,Logistica_clase,Base_mayoritaria_probabilidad,Base_mayoritaria_clase,PyTorch_MLP_probabilidad,PyTorch_MLP_clase,Keras_LSTM_probabilidad,Keras_LSTM_clase
2022-10-06,2022-10-07,7.77,7.699999809265137,0,0.49039817,0,0.0,0,0.4691843,0,0.4433115,0
2022-10-07,2022-10-10,7.7,7.619999885559082,0,0.47813156,0,0.0,0,0.46936566,0,0.44137245,0
2022-10-10,2022-10-11,7.62,7.480000019073486,0,0.48677775,0,0.0,0,0.47233796,0,0.44798425,0
2022-10-11,2022-10-12,7.48,7.260000228881836,0,0.48175183,0,0.0,0,0.46842408,0,0.44114482,0
2022-10-12,2022-10-13,7.26,7.349999904632568,1,0.4773467,0,0.0,0,0.46601638,0,0.43143004,0
2022-10-13,2022-10-14,7.35,7.159999847412109,0,0.49812487,0,0.0,0,0.4627312,0,0.4325963,0
2022-10-14,2022-10-17,7.16,7.449999809265137,1,0.45584145,0,0.0,0,0.4654611,0,0.42632574,0
2022-10-17,2022-10-18,7.45,7.449999809265137,0,0.48115525,0,0.0,0,0.46678874,0,0.44093052,0
2022-10-18,2022-10-19,7.45,7.46999979019165,1,0.46365747,0,0.0,0,0.46918288,0,0.4412715,0
2022-10-19,2022-10-20,7.47,7.639999866485596,1,0.47869515,0,0.0,0,0.46559167,0,0.43107727,0
2022-10-20,2022-10-21,7.64,7.840000152587891,1,0.48524687,0,0.0,0,0.46686837,0,0.44793344,0
2022-10-21,2022-10-24,7.84,7.75,0,0.48591718,0,0.0,0,0.46426615,0,0.4386676,0
2022-10-24,2022-10-25,7.75,7.880000114440918,1,0.44998714,0,0.0,0,0.4657775,0,0.426194,0
2022-10-25,2022-10-26,7.88,7.769999980926514,0,0.4820811,0,0.0,0,0.46556583,0,0.42419526,0
2022-10-26,2022-10-27,7.77,7.849999904632568,1,0.4891141,0,0.0,0,0.4655926,0,0.404503,0
2022-10-27,2022-10-28,7.85,7.610000133514404,0,0.4706168,0,0.0,0,0.46732098,0,0.42233014,0
2022-10-28,2022-10-31,7.61,7.760000228881836,1,0.47554138,0,0.0,0,0.46752778,0,0.41829416,0
2022-10-31,2022-11-01,7.76,8.1899995803833,1,0.50287545,1,0.0,0,0.46612296,0,0.4189798,0
2022-11-01,2022-11-02,8.19,7.840000152587891,0,0.48656622,0,0.0,0,0.4664731,0,0.4372828,0
2022-11-02,2022-11-03,7.84,7.860000133514404,1,0.46966702,0,0.0,0,0.4657629,0,0.43758494,0
2022-11-03,2022-11-04,7.86,7.989999771118164,1,0.5288538,1,0.0,0,0.46727076,0,0.44495174,0
2022-11-04,2022-11-07,7.99,7.769999980926514,0,0.47014093,0,0.0,0,0.46784768,0,0.46721795,0
2022-11-07,2022-11-08,7.77,7.71999979019165,0,0.47866696,0,0.0,0,0.46733993,0,0.4644302,0
2022-11-08,2022-11-09,7.72,7.420000076293945,0,0.4737546,0,0.0,0,0.46677527,0,0.45067734,0
2022-11-09,2022-11-10,7.42,7.409999847412109,0,0.4818075,0,0.0,0,0.4643268,0,0.44668284,0
2022-11-10,2022-11-11,7.41,7.670000076293945,1,0.48159584,0,0.0,0,0.46691838,0,0.45270997,0
2022-11-11,2022-11-14,7.67,7.679999828338623,1,0.49321833,0,0.0,0,0.46770015,0,0.47798815,0
2022-11-14,2022-11-15,7.68,7.539999961853027,0,0.48583984,0,0.0,0,0.46630666,0,0.47449562,0
2022-11-15,2022-11-16,7.54,7.400000095367432,0,0.4653574,0,0.0,0,0.46614897,0,0.46347353,0
2022-11-16,2022-11-17,7.4,7.210000038146973,0,0.48428732,0,0.0,0,0.46597672,0,0.4577879,0
2022-11-17,2022-11-18,7.21,7.289999961853027,1,0.4826529,0,0.0,0,0.46541995,0,0.45004356,0
2022-11-18,2022-11-21,7.29,7.28000020980835,0,0.49664852,0,0.0,0,0.46724343,0,0.4660666,0
2022-11-21,2022-11-22,7.28,7.329999923706055,1,0.45221883,0,0.0,0,0.46700475,0,0.47242627,0
2022-11-22,2022-11-23,7.33,7.539999961853027,1,0.4690322,0,0.0,0,0.46715406,0,0.47386324,0
2022-11-23,2022-11-25,7.54,7.75,1,0.47206578,0,0.0,0,0.4659449,0,0.46846724,0
2022-11-25,2022-11-28,7.75,7.849999904632568,1,0.4788225,0,0.0,0,0.46638408,0,0.46789846,0
2022-11-28,2022-11-29,7.85,7.920000076293945,1,0.47691745,0,0.0,0,0.46577832,0,0.46881405,0
2022-11-29,2022-11-30,7.92,8.100000381469727,1,0.47750503,0,0.0,0,0.4662063,0,0.46343756,0
2022-11-30,2022-12-01,8.1,8.130000114440918,1,0.4600103,0,0.0,0,0.46620452,0,0.46769592,0
2022-12-01,2022-12-02,8.13,8.220000267028809,1,0.46838903,0,0.0,0,0.46600592,0,0.46280688,0
2022-12-02,2022-12-05,8.22,7.639999866485596,0,0.511453,1,0.0,0,0.46402907,0,0.4485171,0
2022-12-05,2022-12-06,7.64,7.630000114440918,0,0.4703812,0,0.0,0,0.4653142,0,0.44452155,0
2022-12-06,2022-12-07,7.63,7.949999809265137,1,0.4629534,0,0.0,0,0.46822497,0,0.43962368,0
2022-12-07,2022-12-08,7.95,7.510000228881836,0,0.49828345,0,0.0,0,0.4673841,0,0.44896522,0
2022-12-08,2022-12-09,7.51,7.440000057220459,0,0.47238886,0,0.0,0,0.4671855,0,0.45044446,0
2022-12-09,2022-12-12,7.44,7.760000228881836,1,0.47099867,0,0.0,0,0.46803454,0,0.45752108,0
2022-12-12,2022-12-13,7.76,7.619999885559082,0,0.4897287,0,0.0,0,0.46767667,0,0.47033855,0
2022-12-13,2022-12-14,7.62,7.670000076293945,1,0.46138567,0,0.0,0,0.46770614,0,0.46379748,0
2022-12-14,2022-12-15,7.67,7.690000057220459,1,0.48982325,0,0.0,0,0.46650973,0,0.46199003,0
2022-12-15,2022-12-16,7.69,7.679999828338623,0,0.48075405,0,0.0,0,0.4672357,0,0.4704181,0
2022-12-16,2022-12-19,7.68,7.960000038146973,1,0.49205646,0,0.0,0,0.4664694,0,0.46738347,0
2022-12-19,2022-12-20,7.96,8.569999694824219,1,0.50919867,1,0.0,0,0.46606195,0,0.4754091,0
2022-12-20,2022-12-21,8.57,8.90999984741211,1,0.51485866,1,0.0,0,0.465431,0,0.47430277,0
2022-12-21,2022-12-22,8.91,8.949999809265137,1,0.5283402,1,0.0,0,0.46515778,0,0.4783746,0
