termino,tfidf_medio,frecuencia
market,0.018986064735258417,9
equity,0.018903622582435838,9
than,0.018716931597777306,13
portfolio,0.018098126145979738,12
period,0.018094093543664834,11
fee,0.017659344474892823,13
reached,0.017556762503870445,16
registering,0.017476551307895147,16
margin,0.0173381308877606,4
year,0.01728504225573328,15
selected,0.01727374819725428,7
mainly,0.01717893845461718,12
fees,0.017011279865134496,11
balance,0.016999484823619484,10
coverage,0.016737793286913712,9
previous,0.01670141684261345,14
cash,0.016570909341856517,9
banks,0.01645683774538182,9
statement,0.016223779687333288,10
cost,0.01622222073568043,10
administrative,0.015913526433205788,12
differences,0.015247370788869303,13
quotation,0.015247370788869303,13
sheet,0.014816822439174995,7
loss,0.014809723216551746,10
management,0.014713409302781366,5
debt,0.01464241820716551,8
employees,0.01461911498202874,5
highlights,0.01461911498202874,5
digital,0.014597091475411722,7
quality,0.01402348764554412,6
government,0.01395461912751245,11
guarantees,0.013852272465087256,8
shareholders,0.013779356717291469,7
combined,0.01367868044404655,4
amounted,0.013522165144630033,7
under,0.013501971129175491,5
deposit,0.013500265278649809,8
personnel,0.013465556113314979,10
investments,0.013375579275259763,6
consequence,0.013228139441226142,9
through,0.013047829607332539,10
com,0.013009086499122089,5
recorded,0.012978496045840756,7
gold,0.012940108809108071,8
rate,0.012903519658855772,9
yield,0.012658691285395216,11
argentine,0.012431582287829906,12
cards,0.012046134151098979,7
represented,0.01195768602497751,7
position,0.011900896022629927,9
clients,0.011896531465231713,5
liquidity,0.011614212175921157,9
gfg,0.011592632602786581,6
avg,0.011587641891489383,10
bce,0.011587641891489383,10
gfgsa,0.01132344747865768,3
channels,0.011238552591972597,4
interests,0.010974054291430713,6
contracts,0.010847604019891745,4
charged,0.010835594957940065,5
entities,0.010785127266631991,7
annualized,0.010730573967083549,6
offset,0.010672913501510612,9
sale,0.010592909305829023,6
companies,0.010522801788505322,4
monetary,0.010507385262610398,7
registered,0.010318295057222962,7
purchases,0.009948329990014276,4
ratios,0.00990150204613631,5
allowances,0.009899056475068196,5
bearing,0.009867119926053828,7
public,0.009707229406242605,10
earning,0.009694063976515068,9
central,0.009668237451803736,10
liquid,0.009510381944443874,4
adjustments,0.009489097838300764,6
services,0.009353841808721163,5
premises,0.009267255076535374,4
property,0.009267255076535374,4
intangible,0.009267255076535374,4
equipment,0.009267255076535374,4
transactions,0.009181149102224916,7
leases,0.00913040212069162,5
bcra,0.008987050655933545,10
available,0.008945475713978544,4
argentina,0.008750918976503597,5
branches,0.008704924938448967,3
banco,0.008674754739527835,6
national,0.008655737473148725,7
repurchase,0.008609178382267,7
date,0.008598152439654585,7
experience,0.008586099182914003,4
dividends,0.008498093378672977,3
npl,0.008464394863344629,4
mutual,0.00841341082312766,3
includes,0.008370809523950284,5
since,0.008358228821002187,2
card,0.008341296058773345,4
saving,0.008319795915317032,5
percentages,0.008305858390164293,3
subordinated,0.008288500801346813,4
holding,0.008276812444744434,3
made,0.008180908097495887,5
associates,0.00811406909225188,5
joint,0.00811406909225188,5
return,0.00808843914063204,2
fund,0.008058291885023902,7
llc,0.008057317976342083,3
related,0.00805602903710853,5
profit,0.008042421969516064,4
those,0.007971885616960803,4
devaluations,0.007833737646113092,6
renta,0.00777342793546726,4
controlling,0.007746336256748229,4
promissory,0.007672524481801396,4
notes,0.007672524481801396,4
agreement,0.007604477087922018,5
adjusted,0.007595175475830212,6
products,0.007591971775017238,4
balances,0.007557588624267693,6
www,0.007544536385095631,4
sura,0.007527698892879465,2
off,0.007484798739468564,4
funds,0.007321122099963361,2
nera,0.007158067114212305,3
inflation,0.007084823156992906,5
exposure,0.007013093192832579,6
depreciations,0.006907687620223491,5
solutions,0.006879683344063674,3
each,0.006877222434740206,5
them,0.006873056910997567,3
july,0.00685020305789354,4
oci,0.006841801929646231,3
gain,0.006839654524027856,2
value,0.006819097811413829,7
comprenhensive,0.006795735501258228,4
price,0.00677519942345601,5
index,0.00677519942345601,5
main,0.006698039465822333,3
rates,0.006656413258656464,6
call,0.006612241723562943,5
business,0.006576716605174772,4
exchange,0.00655541643795304,5
nominal,0.006506387306605558,5
individuals,0.006492105701180523,2
wide,0.006492105701180523,2
direct,0.006439942377616882,3
offs,0.006439942377616882,3
ventures,0.006435801587581847,3
